Region_Size,state_slugs,nº_cities,light,trash,fire,cleaning,police,other,no_tax
Brasil,Brasil,5570.0,4224,2844,137,1941,2617,1310,376
Até 5 000,,1253.0,814,668,12,439,498,266,136
De 5 001 a 10 000,,1199.0,879,570,19,445,456,245,104
De 10 001 a 20 000,,1345.0,1046,641,28,475,593,293,75
De 20 001 a 50 000,,1100.0,898,544,43,349,617,288,50
De 50 001 a 100 000,,349.0,299,205,19,120,237,111,7
De 100 001 a 500 000,,276.0,244,178,14,99,178,86,4
Mais de 500 000,,48.0,44,38,2,14,38,21,0
Norte,Norte,450.0,326,158,10,117,161,82,62
Até 5 000,,76.0,41,10,0,5,24,8,24
De 5 001 a 10 000,,78.0,57,22,2,18,26,15,9
De 10 001 a 20 000,,107.0,77,40,1,31,35,19,14
De 20 001 a 50 000,,115.0,89,44,4,31,36,18,12
De 50 001 a 100 000,,44.0,34,22,2,20,23,14,3
De 100 001 a 500 000,,25.0,23,16,1,10,12,7,0
Mais de 500 000,,5.0,5,4,0,2,5,1,0
Nordeste,Nordeste,1794.0,1376,378,7,343,741,401,176
Até 5 000,,228.0,145,23,1,22,66,46,49
De 5 001 a 10 000,,368.0,259,50,0,45,95,67,58
De 10 001 a 20 000,,565.0,430,108,1,97,210,106,44
De 20 001 a 50 000,,449.0,374,121,4,117,234,113,22
De 50 001 a 100 000,,121.0,106,43,1,39,84,41,3
De 100 001 a 500 000,,52.0,51,26,0,20,42,23,0
Mais de 500 000,,11.0,11,7,0,3,10,5,0
Sudeste,Sudeste,1668.0,1207,1040,35,822,809,465,73
Até 5 000,,375.0,224,220,1,215,139,106,26
De 5 001 a 10 000,,385.0,270,222,8,216,143,94,22
De 10 001 a 20 000,,359.0,268,235,5,193,178,108,9
De 20 001 a 50 000,,289.0,228,188,9,115,189,86,11
De 50 001 a 100 000,,106.0,90,75,7,34,68,25,1
De 100 001 a 500 000,,133.0,109,82,4,44,78,37,4
Mais de 500 000,,21.0,18,18,1,5,14,9,0
Sul,Sul,1191.0,965,1081,76,515,701,276,11
Até 5 000,,439.0,320,389,9,175,226,89,7
De 5 001 a 10 000,,259.0,215,239,9,134,153,56,2
De 10 001 a 20 000,,221.0,194,211,19,118,126,44,1
De 20 001 a 50 000,,161.0,138,142,23,53,112,46,1
De 50 001 a 100 000,,58.0,50,53,8,17,46,22,0
De 100 001 a 500 000,,47.0,43,42,8,18,33,15,0
Mais de 500 000,,6.0,5,5,0,0,5,4,0
Centro-Oeste,Centro-Oeste,467.0,350,187,9,144,205,86,54
Até 5 000,,135.0,84,26,1,22,43,17,30
De 5 001 a 10 000,,109.0,78,37,0,32,39,13,13
De 10 001 a 20 000,,93.0,77,47,2,36,44,16,7
De 20 001 a 50 000,,86.0,69,49,3,33,46,25,4
De 50 001 a 100 000,,20.0,19,12,1,10,16,9,0
De 100 001 a 500 000,,19.0,18,12,1,7,13,4,0
Mais de 500 000,,5.0,5,4,1,4,4,2,0
