Region_Size,state_slugs,nº_cities,iniciatives_last_2_years,property_sale,privatization,concession,commom_concession,private_partnership,administrative_concession,sponsored_concession,culture_related,education,maintenance,sewer,health,funeral_services,transportation,others
Brasil,Brasil,5570.0,431,88,8,377,252,170,140,47,41,35,66,119,52,51,142,129
Até 5 000,,1253.0,60,14,2,52,25,32,27,10,10,13,8,27,6,3,13,14
De 5 001 a 10 000,,1199.0,68,14,2,57,38,24,21,4,5,4,13,18,5,9,16,15
De 10 001 a 20 000,,1345.0,86,15,0,77,43,40,31,11,7,7,21,22,10,10,23,28
De 20 001 a 50 000,,1100.0,96,16,0,86,62,31,26,7,6,7,9,25,14,12,39,35
De 50 001 a 100 000,,349.0,56,14,2,46,33,17,14,6,2,1,10,13,4,10,21,16
De 100 001 a 500 000,,276.0,51,11,0,46,40,17,14,5,7,1,5,12,9,5,25,17
Mais de 500 000,,48.0,14,4,2,13,11,9,7,4,4,2,0,2,4,2,5,4
Norte,Norte,450.0,25,1,0,25,17,9,7,2,2,1,7,12,1,1,2,8
Até 5 000,,76.0,5,1,0,5,3,2,2,0,1,0,1,3,0,0,0,1
De 5 001 a 10 000,,78.0,5,0,0,5,4,1,1,0,0,0,1,3,0,0,1,0
De 10 001 a 20 000,,107.0,4,0,0,4,4,0,0,0,0,0,2,3,0,0,0,0
De 20 001 a 50 000,,115.0,6,0,0,6,2,5,4,1,1,1,3,2,1,1,0,4
De 50 001 a 100 000,,44.0,3,0,0,3,2,1,0,1,0,0,0,1,0,0,0,2
De 100 001 a 500 000,,25.0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1
Mais de 500 000,,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nordeste,Nordeste,1794.0,83,10,0,76,36,42,40,4,6,5,14,29,11,4,20,26
Até 5 000,,228.0,10,0,0,10,2,8,8,0,0,0,0,9,0,0,1,0
De 5 001 a 10 000,,368.0,10,0,0,10,2,8,8,1,0,0,1,6,0,0,1,3
De 10 001 a 20 000,,565.0,23,4,0,20,8,12,10,2,1,3,8,5,3,1,8,7
De 20 001 a 50 000,,449.0,18,2,0,16,9,7,7,0,2,1,1,4,3,2,3,7
De 50 001 a 100 000,,121.0,12,3,0,10,6,4,4,0,0,0,2,3,1,0,2,5
De 100 001 a 500 000,,52.0,9,0,0,9,8,3,3,1,2,0,2,2,3,1,4,4
Mais de 500 000,,11.0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0
Sudeste,Sudeste,1668.0,149,32,3,130,103,42,33,14,12,5,20,32,21,15,69,38
Até 5 000,,375.0,5,1,0,4,1,3,2,1,1,0,0,1,0,0,1,2
De 5 001 a 10 000,,385.0,24,4,1,20,17,4,4,0,1,0,7,5,3,5,7,4
De 10 001 a 20 000,,359.0,24,5,0,20,13,8,7,2,2,0,4,3,2,1,8,9
De 20 001 a 50 000,,289.0,39,5,0,36,29,8,6,3,1,2,4,9,8,1,22,9
De 50 001 a 100 000,,106.0,26,8,0,22,19,7,5,4,2,1,4,6,2,6,16,6
De 100 001 a 500 000,,133.0,22,6,0,19,16,6,5,1,2,1,1,7,4,2,12,5
Mais de 500 000,,21.0,9,3,2,9,8,6,4,3,3,1,0,1,2,0,3,3
Sul,Sul,1191.0,117,23,3,103,65,51,40,19,17,20,18,33,17,20,32,39
Até 5 000,,439.0,29,7,1,26,13,13,10,8,5,11,6,13,6,3,5,5
De 5 001 a 10 000,,259.0,21,5,0,17,11,9,7,2,4,3,2,3,2,2,6,7
De 10 001 a 20 000,,221.0,28,4,0,27,16,15,11,5,3,4,6,9,5,7,5,9
De 20 001 a 50 000,,161.0,19,3,0,18,14,5,4,2,2,2,0,5,1,6,10,11
De 50 001 a 100 000,,58.0,7,1,2,4,2,2,2,0,0,0,2,2,1,1,1,2
De 100 001 a 500 000,,47.0,12,3,0,10,9,6,5,2,3,0,2,1,2,1,5,4
Mais de 500 000,,6.0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
Centro-Oeste,Centro-Oeste,467.0,57,22,2,43,31,26,20,8,4,4,7,13,2,11,19,18
Até 5 000,,135.0,11,5,1,7,6,6,5,1,3,2,1,1,0,0,6,6
De 5 001 a 10 000,,109.0,8,5,1,5,4,2,1,1,0,1,2,1,0,2,1,1
De 10 001 a 20 000,,93.0,7,2,0,6,2,5,3,2,1,0,1,2,0,1,2,3
De 20 001 a 50 000,,86.0,14,6,0,10,8,6,5,1,0,1,1,5,1,2,4,4
De 50 001 a 100 000,,20.0,8,2,0,7,4,3,3,1,0,0,2,1,0,3,2,1
De 100 001 a 500 000,,19.0,6,2,0,6,5,2,1,1,0,0,0,2,0,1,3,3
Mais de 500 000,,5.0,3,0,0,2,2,2,2,1,0,0,0,1,1,2,1,0
